Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.67     0.00        4     0.00     0.00  lua_newuserdatauv
  0.00     12.67     0.00        4     0.00     0.00  lua_pushlightuserdata
  0.00     12.67     0.00        4     0.00     0.00  lua_pushlstring
  0.00     12.67     0.00        4     0.00     0.00  lua_setmetatable
  0.00     12.67     0.00        3     0.00     0.00  GCTM
  0.00     12.67     0.00        3     0.00     0.00  Hgetlongstr
  0.00     12.67     0.00        3     0.00     0.00  addlenmod
  0.00     12.67     0.00        3     0.00     0.00  aux_close
  0.00     12.67     0.00        3     0.00     0.00  checkformat
  0.00     12.67     0.00        3     0.00     0.00  clearbuff
  0.00     12.67     0.00        3     0.00     0.00  codecommutative
  0.00     12.67     0.00        3     0.00     0.00  correctpointers
  0.00     12.67     0.00        3     0.00     0.00  createstdfile
  0.00     12.67     0.00        3     0.00     0.00  f_gc
  0.00     12.67     0.00        3     0.00     0.00  getF
  0.00     12.67     0.00        3     0.00     0.00  initbuff
  0.00     12.67     0.00        3     0.00     0.00  io_noclose
  0.00     12.67     0.00        3     0.00     0.00  isSCint
  0.00     12.67     0.00        3     0.00     0.00  isSCnumber
  0.00     12.67     0.00        3     0.00     0.00  luaB_print
  0.00     12.67     0.00        3     0.00     0.00  luaC_checkfinalizer
  0.00     12.67     0.00        3     0.00     0.00  luaD_reallocstack
  0.00     12.67     0.00        3     0.00     0.00  luaL_addvalue
  0.00     12.67     0.00        3     0.00     0.00  luaL_buffinit
  0.00     12.67     0.00        3     0.00     0.00  luaL_checklstring
  0.00     12.67     0.00        3     0.00     0.00  luaL_checknumber
  0.00     12.67     0.00        3     0.00     0.00  luaL_pushresult
  0.00     12.67     0.00        3     0.00     0.00  luaL_setmetatable
  0.00     12.67     0.00        3     0.00     0.00  luaO_pushvfstring
  0.00     12.67     0.00        3     0.00     0.00  luaO_tostringbuff
  0.00     12.67     0.00        3     0.00     0.00  luaT_gettm
  0.00     12.67     0.00        3     0.00     0.00  luaT_gettmbyobj
  0.00     12.67     0.00        3     0.00     0.00  luaZ_fill
  0.00     12.67     0.00        3     0.00     0.00  lua_gc
  0.00     12.67     0.00        3     0.00     0.00  lua_numbertocstring
  0.00     12.67     0.00        3     0.00     0.00  lua_pushfstring
  0.00     12.67     0.00        3     0.00     0.00  lua_pushnil
  0.00     12.67     0.00        3     0.00     0.00  lua_rawget
  0.00     12.67     0.00        3     0.00     0.00  lua_tonumberx
  0.00     12.67     0.00        3     0.00     0.00  newprefile
  0.00     12.67     0.00        3     0.00     0.00  newupvalue
  0.00     12.67     0.00        3     0.00     0.00  pushbuff
  0.00     12.67     0.00        3     0.00     0.00  read_string
  0.00     12.67     0.00        3     0.00     0.00  relstack
  0.00     12.67     0.00        3     0.00     0.00  str_format
  0.00     12.67     0.00        3     0.00     0.00  sweep2old
  0.00     12.67     0.00        3     0.00     0.00  tryfuncTM
  0.00     12.67     0.00        3     0.00     0.00  udata2finalize
  0.00     12.67     0.00        2     0.00     0.00  cleargraylists
  0.00     12.67     0.00        2     0.00     0.00  cond
  0.00     12.67     0.00        2     0.00     0.00  condjump
  0.00     12.67     0.00        2     0.00     0.00  deletelist
  0.00     12.67     0.00        2     0.00     0.00  f_newext
  0.00     12.67     0.00        2     0.00     0.00  finaltarget
  0.00     12.67     0.00        2     0.00     0.00  forbody
  0.00     12.67     0.00        2     0.00     0.00  fornum
  0.00     12.67     0.00        2     0.00     0.00  forstat
  0.00     12.67     0.00        2     0.00     0.00  ifstat
  0.00     12.67     0.00        2     0.00     0.00  luaC_changemode
  0.00     12.67     0.00        2     0.00     0.00  luaC_runtilstate
  0.00     12.67     0.00        2     0.00     0.00  luaD_growstack
  0.00     12.67     0.00        2     0.00     0.00  luaH_psetint
  0.00     12.67     0.00        2     0.00     0.00  luaK_concat
  0.00     12.67     0.00        2     0.00     0.00  luaK_goiftrue
  0.00     12.67     0.00        2     0.00     0.00  luaK_intK
  0.00     12.67     0.00        2     0.00     0.00  luaL_makeseed
  0.00     12.67     0.00        2     0.00     0.00  luaS_newextlstr
  0.00     12.67     0.00        2     0.00     0.00  lua_pcallk
  0.00     12.67     0.00        2     0.00     0.00  lua_pushexternalstring
  0.00     12.67     0.00        2     0.00     0.00  lua_rawgeti
  0.00     12.67     0.00        2     0.00     0.00  lua_setwarnf
  0.00     12.67     0.00        2     0.00     0.00  lua_tointegerx
  0.00     12.67     0.00        2     0.00     0.00  luai_makeseed
  0.00     12.67     0.00        2     0.00     0.00  psetint
  0.00     12.67     0.00        2     0.00     0.00  rawfinishnodeset
  0.00     12.67     0.00        2     0.00     0.00  report
  0.00     12.67     0.00        2     0.00     0.00  resetCI
  0.00     12.67     0.00        2     0.00     0.00  setpath
  0.00     12.67     0.00        2     0.00     0.00  setsignal
  0.00     12.67     0.00        2     0.00     0.00  setvararg
  0.00     12.67     0.00        2     0.00     0.00  tablerehash
  0.00     12.67     0.00        2     0.00     0.00  test_then_block
  0.00     12.67     0.00        1     0.00     0.00  atomic2gen
  0.00     12.67     0.00        1     0.00     0.00  checkcontrol
  0.00     12.67     0.00        1     0.00     0.00  checkmode
  0.00     12.67     0.00        1     0.00     5.03  close_state
  0.00     12.67     0.00        1     0.00     0.00  closepaux
  0.00     12.67     0.00        1     0.00     0.00  codeeq
  0.00     12.67     0.00        1     0.00     0.00  codeorder
  0.00     12.67     0.00        1     0.00     0.00  collectargs
  0.00     12.67     0.00        1     0.00     0.00  createargtable
  0.00     12.67     0.00        1     0.00     0.00  createmeta
  0.00     12.67     0.00        1     0.00     0.00  createmetatable
  0.00     12.67     0.00        1     0.00     0.00  createsearcherstable
  0.00     12.67     0.00        1     0.00     0.00  docall
  0.00     12.67     0.00        1     0.00     0.00  entergen
  0.00     12.67     0.00        1     0.00     0.00  entersweep
  0.00     12.67     0.00        1     0.00     0.00  f_luaopen
  0.00     12.67     0.00        1     0.00     0.00  f_parser
  0.00     12.67     0.00        1     0.00     0.00  freeCI
  0.00     12.67     0.00        1     0.00     0.00  freestack
  0.00     12.67     0.00        1     0.00     0.00  growstrtab
  0.00     12.67     0.00        1     0.00     0.00  handle_luainit
  0.00     12.67     0.00        1     0.00     0.00  handle_script
  0.00     12.67     0.00        1     0.00     0.00  init_registry
  0.00     12.67     0.00        1     0.00     0.00  localfunc
  0.00     12.67     0.00        1     0.00     0.00  luaC_barrierback_
  0.00     12.67     0.00        1     0.00     2.51  luaC_freeallobjects
  0.00     12.67     0.00        1     0.00     2.51  luaD_closeprotected
  0.00     12.67     0.00        1     0.00     0.00  luaD_protectedparser
  0.00     12.67     0.00        1     0.00     0.00  luaE_threadsize
  0.00     12.67     0.00        1     0.00     0.00  luaE_warning
  0.00     12.67     0.00        1     0.00     0.00  luaF_close
  0.00     12.67     0.00        1     0.00     0.00  luaF_initupvals
  0.00     12.67     0.00        1     0.00     0.00  luaH_getn
  0.00     12.67     0.00        1     0.00     0.00  luaK_nil
  0.00     12.67     0.00        1     0.00     0.00  luaL_len
  0.00     12.67     0.00        1     0.00     0.00  luaL_loadfilex
  0.00     12.67     0.00        1     0.00     0.00  luaL_newmetatable
  0.00     12.67     0.00        1     0.00     2.51  luaL_newstate
  0.00     12.67     0.00        1     0.00     0.00  luaL_openselectedlibs
  0.00     12.67     0.00        1     0.00     0.00  luaS_init
  0.00     12.67     0.00        1     0.00     0.00  luaS_resize
  0.00     12.67     0.00        1     0.00     0.00  luaT_init
  0.00     12.67     0.00        1     0.00     0.00  luaV_objlen
  0.00     12.67     0.00        1     0.00     0.00  luaX_init
  0.00     12.67     0.00        1     0.00     0.00  luaX_setinput
  0.00     12.67     0.00        1     0.00     0.00  luaY_parser
  0.00     12.67     0.00        1     0.00     0.00  luaZ_init
  0.00     12.67     0.00        1     0.00     0.00  lua_atpanic
  0.00     12.67     0.00        1     0.00     0.00  lua_close
  0.00     12.67     0.00        1     0.00     0.00  lua_getglobal
  0.00     12.67     0.00        1     0.00     0.00  lua_len
  0.00     12.67     0.00        1     0.00     0.00  lua_load
  0.00     12.67     0.00        1     0.00     2.51  lua_newstate
  0.00     12.67     0.00        1     0.00     0.00  lua_warning
  0.00     12.67     0.00        1     0.00     0.00  luaopen_base
  0.00     12.67     0.00        1     0.00     0.00  luaopen_coroutine
  0.00     12.67     0.00        1     0.00     0.00  luaopen_debug
  0.00     12.67     0.00        1     0.00     0.00  luaopen_io
  0.00     12.67     0.00        1     0.00     0.00  luaopen_math
